period,area,product,row_count,estimated_contract_rows,estimated_date_rows,unique_products,unique_dr_numbers,net_income_clean,revenue_clean,quantity,total_trade_price,net_income,net_cost,discount,total_cost,gross_margin_rate
2024-04,Pagbilao,BALLPEN FINEPOINT,1,1,0,1,1,4877.55,7060.49,0.1493,7060.49,4877.55,11938.03,0.0,11938.03,0.690823
2024-04,Pagbilao,BATHROOM TISSUE 2PLY 12'S (FEMME),2,2,0,1,2,6514.83,9991.07,0.3733,9991.07,6514.83,16505.89,0.0,16505.89,0.652065
2024-04,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),1,1,0,1,1,3402.41,4606.97,0.1566,4606.97,3402.41,8009.39,0.0,8009.39,0.738535
2024-04,Pagbilao,ELECTRICAL WIRE #14,1,1,0,1,1,4286.77,5804.41,0.1972,5804.41,4286.77,10091.17,0.0,10091.17,0.738537
2024-04,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,2,2,0,1,2,6959.0,10227.779999999999,0.5012,10227.78,6959.0,17186.77,0.0,17186.77,0.680402
2024-04,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,1,1,0,1,1,9824.29,14221.12,0.3007,14221.12,9824.29,24045.41,0.0,24045.41,0.690824
2024-04,Pagbilao,INK EPSON #003 BLACK,1,1,0,1,1,7059.97,10219.65,0.2161,10219.65,7059.97,17279.63,0.0,17279.63,0.690823
2024-04,Pagbilao,INK EPSON #003 CYAN,2,2,0,1,2,10753.85,15095.010000000002,0.4068,15095.01,10753.85,25848.86,0.0,25848.86,0.712411
2024-04,Pagbilao,LETTER ENVELOPE LONG,1,1,0,1,1,915.65,1716.02,0.1492,1716.02,915.65,2631.67,0.0,2631.67,0.533589
2024-04,Pagbilao,MARKER BLACK (PILOT),1,1,0,1,1,1308.93,2453.08,0.2133,2453.08,1308.93,3762.02,0.0,3762.02,0.533586
2024-04,Pagbilao,MYGEL BLACK,1,1,0,1,1,1049.56,1966.99,0.171,1966.99,1049.56,3016.55,0.0,3016.55,0.533587
2024-04,Pagbilao,STAPLER STANDARD TYPE (JOY),1,1,0,1,1,3588.89,4859.46,0.1651,4859.46,3588.89,8448.36,0.0,8448.36,0.738537
2024-05,Padre Burgos,CORRECTION TAPE JOY,1,1,0,1,1,5177.96,11217.12,0.2204,11217.12,5177.96,16395.09,0.0,16395.09,0.461612
2024-05,Padre Burgos,FOLDER ORDINARY WHITE LONG 100'S,1,1,0,1,1,4559.71,9877.79,0.1941,9877.79,4559.71,14437.49,0.0,14437.49,0.461612
2024-05,Padre Burgos,INK EPSON #003 BLACK,1,1,0,1,1,5254.25,11382.39,0.2237,11382.39,5254.25,16636.64,0.0,16636.64,0.461612
2024-05,Padre Burgos,INK EPSON #003 MAGENTA,1,1,0,1,1,4249.54,9205.85,0.1809,9205.85,4249.54,13455.39,0.0,13455.39,0.461613
2024-05,Padre Burgos,INK EPSON #003 YELLOW,1,1,0,1,1,4249.54,9205.85,0.1809,9205.85,4249.54,13455.39,0.0,13455.39,0.461613
2024-05,Pagbilao,BALLPEN FINEPOINT,1,1,0,1,1,0.0,0.0,0.1274,14231.64,14231.64,30450.86,0.0,30450.86,0.0
2024-05,Pagbilao,BATHROOM TISSUE 2PLY 12'S (FEMME),1,1,0,1,1,446.23,2937.81,0.1433,2937.81,446.23,3384.04,0.0,3384.04,0.151892
2024-05,Pagbilao,BOND PAPER A4 (HARDCOPY),6,6,0,1,6,7866.969999999999,19299.12,0.9909,57973.55,8172.44,45200.05,0.0,45200.05,0.407634
2024-05,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),2,2,0,1,2,3815.12,9141.33,0.2177,9141.33,3815.12,12956.46,0.0,12956.46,0.417348
2024-05,Pagbilao,CLEAR BOOK LEGAL/LONG,2,2,0,1,2,19888.45,36929.89,0.4428,36929.89,19888.45,56818.35,0.0,56818.35,0.538546
2024-05,Pagbilao,CORRECTION TAPE 20MM,2,2,0,1,2,0.0,0.0,0.4594,27654.46,0.0,15572.78,0.0,15572.78,0.0
2024-05,Pagbilao,CORRECTION TAPE JOY,1,1,0,1,1,4082.87,4396.5,0.2056,4396.5,4082.87,8479.37,0.0,8479.37,0.928664
2024-05,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),3,3,0,1,3,3114.94,5663.21,0.3021,16635.21,14086.94,32254.49,0.0,32254.49,0.550031
2024-05,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,2,2,0,1,2,4549.43,5766.06,0.3601,32724.98,4549.43,24194.87,0.0,24194.87,0.789002
2024-05,Pagbilao,HARD COPY SUB#20 (8 1/2X13) LONG,2,2,0,1,2,0.0,0.0,0.4843,29168.33,29168.33,62572.34,0.0,62572.34,0.0
2024-05,Pagbilao,HARD COPY SUB#20 A4,1,1,0,1,1,0.0,0.0,0.2725,37328.0,0.0,19217.74,0.0,19217.74,0.0
2024-05,Pagbilao,HBW BLACK BALLPEN,4,4,0,1,4,2934.16,10344.01,0.6628,83982.77,38680.16,149372.97,0.0,149372.97,0.283658
2024-05,Pagbilao,INK CARTRIDGE TRI COLOR (HP680),2,2,0,1,2,2218.22,7820.06,0.323,13759.84,2218.22,15169.58,0.0,15169.58,0.283658
2024-05,Pagbilao,INK EPSON #003 BLACK,3,3,0,1,3,3528.45,4542.38,0.5882,61098.25,45731.32,144631.62,0.0,144631.62,0.776784
2024-05,Pagbilao,INK EPSON #003 CYAN,4,4,0,1,4,3350.79,3608.2,0.7043,29056.67,3350.79,30426.33,0.0,30426.33,0.92866
2024-05,Pagbilao,INK EPSON #003 MAGENTA,4,4,0,1,4,11194.94,25716.8,0.5763,32897.74,11487.39,44437.55,0.0,44437.55,0.435316
2024-05,Pagbilao,INK EPSON #003 YELLOW,1,1,0,1,1,10705.01,22491.33,0.1442,22491.33,10705.01,33196.33,0.0,33196.33,0.475962
2024-05,Pagbilao,MARKER BLACK (PILOT),2,2,0,1,2,3040.35,3273.9,0.3026,13806.83,3040.35,9589.87,0.0,9589.87,0.928663
2024-05,Pagbilao,MASKING TAPE 1INCH,1,1,0,1,1,0.0,0.0,0.1472,20162.11,0.0,10380.15,0.0,10380.15,0.0
2024-05,Pagbilao,MYGEL BLACK,2,2,0,1,2,0.0,0.0,0.2154,36951.19,36951.19,103655.42,0.0,103655.42,0.0
2024-05,Pagbilao,RECORD BOOK 500PAGES (VALIANT),3,3,0,1,3,4643.24,4999.93,0.6614,36408.69,4643.24,28752.71,0.0,28752.71,0.928661
2024-05,Pagbilao,SCOTCH TAPE 1'',2,2,0,1,2,2085.84,2685.22,0.3021,8168.76,2085.84,9508.22,0.0,9508.22,0.776786
2024-05,Pagbilao,STAPLE WIRE #35,3,3,0,1,3,4447.42,5636.76,0.4526,41746.45,40557.11,122904.35,0.0,122904.35,0.789003
2024-05,Pagbilao,STAPLER STANDARD TYPE (JOY),2,2,0,1,2,2030.83,2614.4,0.2941,7953.31,2030.83,9257.45,0.0,9257.45,0.776786
2024-05,Pagbilao,T SHIRT WITH PRINT,10,10,0,1,10,57865.37,122482.53000000001,4.0913,311884.38,198028.58,619862.65,0.0,619862.65,0.472438
2024-05,Pagbilao,TRASH BAG - BLACK - MEDIUM,4,4,0,1,4,8321.62,17483.81,0.5284,37266.38,8321.62,44047.95,0.0,44047.95,0.475961
2024-06,Pagbilao,ALLECUR 10MG,1,1,0,1,1,8093.29,15886.82,0.2661,15886.82,8093.29,23980.1,0.0,23980.1,0.509434
2024-06,Pagbilao,BALLPEN FINEPOINT,2,2,0,1,2,7336.860000000001,11257.16,0.2979,11257.16,7336.86,18594.02,0.0,18594.02,0.651751
2024-06,Pagbilao,BATHROOM TISSUE 2PLY 12'S (FEMME),1,1,0,1,1,0.0,0.0,0.2076,10256.77,0.0,7804.86,0.0,7804.86,0.0
2024-06,Pagbilao,BOND PAPER LEGAL 80GSM (DOUBLE A),2,2,0,1,2,2095.83,5490.23,0.1993,5490.23,2095.83,7586.08,0.0,7586.08,0.381738
2024-06,Pagbilao,CLEAR BOOK LEGAL/LONG,3,3,0,1,3,2277.15,3313.31,0.67,33492.21,2277.15,14250.13,0.0,14250.13,0.687273
2024-06,Pagbilao,CORRECTION TAPE JOY,3,3,0,1,3,9373.75,13785.34,0.6317,39773.49,9373.75,30616.26,0.0,30616.26,0.67998
2024-06,Pagbilao,DISINFECTANT SPRAY 170G 227ML (LYSOL),3,3,0,1,3,5066.59,7451.09,0.4048,17787.11,5066.59,20066.71,0.0,20066.71,0.67998
2024-06,Pagbilao,ELECTRICAL WIRE #14,2,2,0,1,2,761.44,1584.82,0.3314,11156.41,761.44,9629.73,0.0,9629.73,0.480458
2024-06,Pagbilao,FLASH DRIVE 32GB (KINGSTON),1,1,0,1,1,0.0,0.0,0.1274,2825.12,0.0,1843.88,0.0,1843.88,0.0
2024-06,Pagbilao,FOLDER ORDINARY WHITE LONG 100'S,1,1,0,1,1,0.0,0.0,0.2145,4757.26,0.0,3104.94,0.0,3104.94,0.0
2024-06,Pagbilao,HARD COPY SUB#20 A4,2,2,0,1,2,2390.96,3478.92,0.4065,28579.23,2390.96,10663.23,0.0,10663.23,0.687271
2024-06,Pagbilao,HBW BLACK BALLPEN,1,1,0,1,1,1568.29,6071.0,0.1608,6071.0,1568.29,7639.28,0.0,7639.28,0.258325
